Heure,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi
08:00,Physique@Salle A,Mathématiques@Salle A,,Mathématiques@Salle A,SII@Salle A,
08:30,Physique@Salle A,Mathématiques@Salle A,Anglais G3@Salle A,Mathématiques@Salle A,SII@Salle A,
09:00,Physique@Salle A,Mathématiques@Salle A,Anglais G3@Salle A,Mathématiques@Salle A,Mathématiques@Salle A,
09:30,Physique@Salle A,Mathématiques@Salle A,Anglais G3@Salle A,Mathématiques@Salle A,Mathématiques@Salle A,
10:15,Mathématiques@Salle A,TD Maths G3@Salle A,Informatique@Salle A,Physique@Salle A,Mathématiques@Salle A,
10:45,Mathématiques@Salle A,TD Maths G3@Salle A,Informatique@Salle A,Physique@Salle A,Mathématiques@Salle A,
11:15,Mathématiques@Salle A,TD Maths G3@Salle A,Informatique@Salle A,Physique@Salle A,Mathématiques@Salle A,
11:45,Mathématiques@Salle A,TD Maths G3@Salle A,Informatique@Salle A,Physique@Salle A,Mathématiques@Salle A,
12:15,,,,,,
12:45,,,,,,
13:15,,,TD SII G3@S302,,,
13:45,,,TD SII G3@S302,,,
14:15,Mathématiques@Salle A,,,Français-Philosophie@Salle A,,
14:45,Mathématiques@Salle A,,,Français-Philosophie@Salle A,TD Phys. G3@Salle A,
15:15,Mathématiques@Salle A,TP Phys. G3@G207,,Français-Philosophie@Salle A,TD Phys. G3@Salle A,
15:45,Mathématiques@Salle A,TP Phys. G3@G207,,Français-Philosophie@Salle A,TD Phys. G3@Salle A,
16:20,,TP Phys. G3@G207,,,TD Info G3@H207,
16:50,,,,,TD Info G3@H207,
17:20,,,,,TD Info G3@H207,
17:50,,,,,TD Info G3@H207,
